capture_id,source_path,trip_id,entity_id,station,category,timestamp,reason
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965655,1965655,24TH,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965701,1965701,MLBR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965656,1965656,12TH,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965657,1965657,PLZA,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965658,1965658,RICH,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965791,1965791,EMBR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965851,1965851,DALY,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965792,1965792,COLS,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965793,1965793,CAST,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965794,1965794,DUBL,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965847,1965847,CAST,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965795,1965795,DUBL,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965848,1965848,LAKE,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965849,1965849,GLEN,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965850,1965850,DALY,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,676,676,PCTR,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,678,678,PCTR,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,680,680,PCTR,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,682,682,PCTR,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,683,683,ANTC,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,684,684,PCTR,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,685,685,ANTC,realtime_only_trip,2026-09-11T23:17:20+00:00,SCHEDULED
