capture_id,trip_id,entity_id,selected,selected_entity_id,duplicate_count,decision
bart_live_20260912_071605,2000566,2000566,True,2000566,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000567,2000567,True,2000567,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000568,2000568,True,2000568,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000569,2000569,True,2000569,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000621,2000621,True,2000621,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000622,2000622,True,2000622,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000623,2000623,True,2000623,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000624,2000624,True,2000624,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000625,2000625,True,2000625,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000721,2000721,True,2000721,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000806,2000806,True,2000806,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000807,2000807,True,2000807,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000808,2000808,True,2000808,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000809,2000809,True,2000809,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000810,2000810,True,2000810,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000811,2000811,True,2000811,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000847,2000847,True,2000847,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000848,2000848,True,2000848,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000849,2000849,True,2000849,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000932,2000932,True,2000932,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000933,2000933,True,2000933,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000934,2000934,True,2000934,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000935,2000935,True,2000935,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000986,2000986,True,2000986,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000988,2000988,True,2000988,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000989,2000989,True,2000989,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000990,2000990,True,2000990,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000991,2000991,True,2000991,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2000992,2000992,True,2000992,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2002128,2002128,True,2002128,1,selected_newest_stable_tiebreak
