capture_id,source_path,request_time,station,prediction_count
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\daly.xml,2026-09-11T18:58:17-07:00,DALY,18
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\dbrk.xml,2026-09-11T18:58:17-07:00,DBRK,8
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\deln.xml,2026-09-11T18:58:17-07:00,DELN,7
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\dubl.xml,2026-09-11T18:58:17-07:00,DUBL,2
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\embr.xml,2026-09-11T18:58:17-07:00,EMBR,24
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\frmt.xml,2026-09-11T18:58:17-07:00,FRMT,7
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\ftvl.xml,2026-09-11T18:58:17-07:00,FTVL,12
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\glen.xml,2026-09-11T18:58:17-07:00,GLEN,22
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\hayw.xml,2026-09-11T18:58:17-07:00,HAYW,8
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\lafy.xml,2026-09-11T18:58:17-07:00,LAFY,10
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\lake.xml,2026-09-11T18:58:17-07:00,LAKE,12
